unit_code,vaps_code,division,Unit_Activations,Vaps_Associated_With_Unit,Vaps_Attach_Rate,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS,VAPS_DESCRIPTION,VAPS_L1_PURPOSE,VAPS_L2__CORE_NEED,VAPS_L2_PRODUCTS,VAPS_CUSTOMIZATION_COMPLEMENTARY_ALTERNATIVES,VAPS_MAIN_GROUP,VAPS_DETAILED_GROUP,VAPS_PACKAGE_TIER,VAPS_SOURCE
10W,WS4020,Northeast Division,261,14,5.36,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,WS4020,South Division,691,48,6.95,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,WS4020,West Division,839,51,6.08,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,WS4301,South Division,691,1,0.14,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Generic Ramp Rental,,,,,Entrances,,,VAPS - A La Carte
10W,WS5000,Canada Division,75,7,9.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS5000,Central Division,621,9,1.45,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS5000,Northeast Division,261,11,4.21,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS5000,South Division,691,8,1.16,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS5000,West Division,839,7,0.83,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS5002,Canada Division,75,1,1.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
