unit_code,vaps_code,division,Unit_Activations,Vaps_Associated_With_Unit,Vaps_Attach_Rate,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS,VAPS_DESCRIPTION,VAPS_L1_PURPOSE,VAPS_L2__CORE_NEED,VAPS_L2_PRODUCTS,VAPS_CUSTOMIZATION_COMPLEMENTARY_ALTERNATIVES,VAPS_MAIN_GROUP,VAPS_DETAILED_GROUP,VAPS_PACKAGE_TIER,VAPS_SOURCE
HQ208,WSBASEP1O,West Division,92,2,2.17,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Ergo Office Package - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Ergonomic Packages,Basic,VAPS MAPPING
HQ208,WSBASEP1WS,Northeast Division,291,1,0.34,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Ergo Workstation Package - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Ergonomic Packages,Basic,VAPS MAPPING
HQ208,WSBASP1C,Northeast Division,291,6,2.06,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Conference Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Conference Packages,Basic,VAPS MAPPING
HQ208,WSBASP1CA,Canada Division,28,4,14.29,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1CA,Central Division,122,18,14.75,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1CA,Northeast Division,291,37,12.71,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1CA,South Division,307,8,2.61,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1CA,West Division,92,2,2.17,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1LR,Canada Division,28,1,3.57,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1LR,Northeast Division,291,3,1.03,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1LR,South Division,307,3,0.98,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
HQ208,WSBASP1O,Canada Division,28,2,7.14,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
HQ208,WSBASP1O,Central Division,122,32,26.23,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
HQ208,WSBASP1O,Northeast Division,291,77,26.46,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
HQ208,WSBASP1O,South Division,307,20,6.51,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
HQ208,WSBASP1O,West Division,92,19,20.65,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
HQ208,WSBASPCU,Northeast Division,291,1,0.34,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cubicle Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Cubicle Packages,Basic,VAPS MAPPING
HQ208,WSCI10K,Northeast Division,291,3,1.03,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $10K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 3,VAPS MAPPING
HQ208,WSCI10K,West Division,92,1,1.09,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $10K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 3,VAPS MAPPING
HQ208,WSCI20K,West Division,92,1,1.09,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $20K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 4,VAPS MAPPING
HQ208,WSCI2K,Northeast Division,291,1,0.34,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $2K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 1,VAPS MAPPING
HQ208,WSCI5K,Central Division,122,5,4.10,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $5K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 2,VAPS MAPPING
HQ208,WSCI5K,Northeast Division,291,11,3.78,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $5K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 2,VAPS MAPPING
HQ208,WSCI5K,West Division,92,2,2.17,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $5K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 2,VAPS MAPPING
HQ208,WSMCLR,Central Division,122,2,1.64,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Magnetic Container Light - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Lighting,Magnetic Lights,Unique,VAPS MAPPING
HQ208,WSMCLR,Northeast Division,291,3,1.03,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Magnetic Container Light - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Lighting,Magnetic Lights,Unique,VAPS MAPPING
HQ208,WSPLAN1,Northeast Division,291,5,1.72,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Planning Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Planning Package,Unique,VAPS MAPPING
HQ208,WSPLAN1,West Division,92,4,4.35,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Planning Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Planning Package,Unique,VAPS MAPPING
HQ208,WSPREP1O,Northeast Division,291,6,2.06,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Premium Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Premium,VAPS MAPPING
HQ208,WSPREP1O,West Division,92,3,3.26,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Premium Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Premium,VAPS MAPPING
HQ208,WSPROEP1O,Central Division,122,1,0.82,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Prof Ergo Office Package - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Ergonomic Packages,Professional,VAPS MAPPING
HQ208,WSPROEP1O,Northeast Division,291,1,0.34,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Prof Ergo Office Package - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Ergonomic Packages,Professional,VAPS MAPPING
HQ208,WSPROP1C,Northeast Division,291,1,0.34,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Conference Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Conference Packages,Professional,VAPS MAPPING
HQ208,WSPROP1CA,Northeast Division,291,3,1.03,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Professional,VAPS MAPPING
HQ208,WSPROP1O,Central Division,122,11,9.02,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Professional,VAPS MAPPING
HQ208,WSPROP1O,Northeast Division,291,6,2.06,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Professional,VAPS MAPPING
HQ208,WSPROP1O,South Division,307,4,1.30,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Professional,VAPS MAPPING
HQ208,WSRMPADAWCR30CK,Northeast Division,291,1,0.34,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,ADA/IBC Ramp w/Canopy < 30',Office & Meeting Space,FLEX & Premium Spaces,FLEX,L3 - Complete Your Space,Entrance Packages,Step and Canopy Systems,Professional,VAPS MAPPING
HQ208,WSRMPADAWCR30CK,West Division,92,1,1.09,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,ADA/IBC Ramp w/Canopy < 30',Office & Meeting Space,FLEX & Premium Spaces,FLEX,L3 - Complete Your Space,Entrance Packages,Step and Canopy Systems,Professional,VAPS MAPPING
HQ208,,Canada Division,28,1,3.57,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,,,,,,,,,
HQ208,,Central Division,122,26,21.31,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,,,,,,,,,
HQ208,,Northeast Division,291,20,6.87,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,,,,,,,,,
HQ208,,South Division,307,41,13.36,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,,,,,,,,,
HQ208,,West Division,92,23,25.00,20x8 HQ Ground Level Office,HQ Ground Level Office - 20' x 8',Small HQ Ground Level Office+ (160 SF),Offices,Ground Level Offices,Standard Ground Level Offices,,,,,,,,,
HQ408,LIABILITYWVR,Central Division,39,10,25.64,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,LIABILITYWVR,Northeast Division,238,45,18.91,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,LIABILITYWVR,South Division,49,9,18.37,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,LIABILITYWVR,West Division,9,5,55.56,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,PROP1AP,Central Division,39,8,20.51,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
HQ408,PROP1AP,Northeast Division,238,12,5.04,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
HQ408,PROP1AP,West Division,9,1,11.11,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
HQ408,WS1DATAV2,Central Division,39,20,51.28,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
HQ408,WS1DATAV2,Northeast Division,238,70,29.41,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
HQ408,WS1DATAV2,South Division,49,8,16.33,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
HQ408,WS1DATAV2,West Division,9,3,33.33,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
HQ408,WS3012,Northeast Division,238,5,2.10,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Redi-Panel Wall - (LF),Office & Meeting Space,Ground Level Spaces,Ground Level Offices Plus,L3 - Complete Your Space,Walls & Surfaces,Quick Walls,Unique,VAPS MAPPING
HQ408,WS3404,Central Division,39,1,2.56,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Security Screens - Window - Rental,,,,,Security,,,VAPS - A La Carte
HQ408,WS3404,Northeast Division,238,26,10.92,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Security Screens - Window - Rental,,,,,Security,,,VAPS - A La Carte
HQ408,WS3414,Northeast Division,238,11,4.62,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Window/Door Security Bundle - 30ft & Less,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Unit Security,Unique,VAPS MAPPING
HQ408,WS3414,South Division,49,1,2.04,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Window/Door Security Bundle - 30ft & Less,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Unit Security,Unique,VAPS MAPPING
HQ408,WS3416,Central Division,39,4,10.26,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Window/Door Security Bundle - 40ft & Greater,Office & Meeting Space,Mobile Offices,Mobile Offices,L3 - Complete Your Space,Security & Protection,Unit Security,Unique,VAPS MAPPING
HQ408,WS3416,Northeast Division,238,38,15.97,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Window/Door Security Bundle - 40ft & Greater,Office & Meeting Space,Mobile Offices,Mobile Offices,L3 - Complete Your Space,Security & Protection,Unit Security,Unique,VAPS MAPPING
HQ408,WS3416,West Division,9,2,22.22,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Window/Door Security Bundle - 40ft & Greater,Office & Meeting Space,Mobile Offices,Mobile Offices,L3 - Complete Your Space,Security & Protection,Unit Security,Unique,VAPS MAPPING
HQ408,WS3502,Northeast Division,238,4,1.68,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
HQ408,WS3508,Northeast Division,238,6,2.52,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
HQ408,WS3548,Northeast Division,238,5,2.10,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,TechSuite/BIM,,,,,Miscellaneous,,,VAPS - A La Carte
HQ408,WS4020,Central Division,39,9,23.08,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,WS4020,Northeast Division,238,41,17.23,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,WS4020,South Division,49,3,6.12,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,WS4020,West Division,9,3,33.33,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
HQ408,WS5000,Northeast Division,238,8,3.36,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
HQ408,WS5000,South Division,49,5,10.20,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
HQ408,WS5002,Northeast Division,238,74,31.09,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
HQ408,WS5002,South Division,49,12,24.49,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
HQ408,WS5002,West Division,9,2,22.22,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
HQ408,WS5003,Northeast Division,238,1,0.42,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 8ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
HQ408,WS5024,Central Division,39,8,20.51,40x8 HQ Ground Level Office,HQ Ground Level Office - 40' x 8',Large HQ Ground Level Office+ (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Chair,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
