unit_code,MARKET_SEGMENT_DESCRIPTION,Year,Quarter,Unit_Market_Activations,Unit_Activations,Market_Activations,Market_Contribution_to_Product,Product_Share_in_Market,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS
18W,Professional Services,2026,2,7,35,574,20.00,1.22,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,,2025,1,1,110,53,0.91,1.89,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Other,2025,4,1,74,82,1.35,1.22,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Mining & Utilities,2026,2,1,35,145,2.86,0.69,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,,2025,3,1,100,52,1.00,1.92,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Professional Services,2025,1,25,110,1459,22.73,1.71,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Retail & Wholesale Trade,2024,4,14,123,389,11.38,3.60,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Subcontractors,2024,4,19,123,743,15.45,2.56,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Retail & Wholesale Trade,2026,2,7,35,215,20.00,3.26,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Arts, Media, Hotels & Entertainment",2024,1,8,139,898,5.76,0.89,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Other,2024,2,4,165,188,2.42,2.13,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Other,2025,1,3,110,94,2.73,3.19,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Engineering & Architecture,2025,2,4,134,164,2.99,2.44,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Home Builders & Developers,2025,4,19,74,1022,25.68,1.86,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Retail & Wholesale Trade,2025,1,12,110,514,10.91,2.33,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Highway & Heavy Construction,2024,2,8,165,360,4.85,2.22,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Arts, Media, Hotels & Entertainment",2025,4,5,74,258,6.76,1.94,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Professional Services,2025,3,13,100,1275,13.00,1.02,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Engineering & Architecture,2025,1,4,110,217,3.64,1.84,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Other,2025,3,1,100,98,1.00,1.02,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Professional Services,2024,3,28,156,1511,17.95,1.85,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Home Builders & Developers,2026,1,17,104,1104,16.35,1.54,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Arts, Media, Hotels & Entertainment",2024,2,15,165,1014,9.09,1.48,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Engineering & Architecture,2024,1,3,139,185,2.16,1.62,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Engineering & Architecture,2026,1,2,104,151,1.92,1.32,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Public Administration,2025,1,2,110,88,1.82,2.27,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Engineering & Architecture,2025,4,1,74,129,1.35,0.78,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Retail & Wholesale Trade,2025,4,1,74,422,1.35,0.24,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Highway & Heavy Construction,2025,4,1,74,254,1.35,0.39,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Home Builders & Developers,2025,2,20,134,1237,14.93,1.62,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Home Builders & Developers,2024,3,33,156,1231,21.15,2.68,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Health Care,2024,2,6,165,58,3.64,10.34,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Manufacturing,2024,3,11,156,552,7.05,1.99,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Home Builders & Developers,2025,3,13,100,1104,13.00,1.18,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Professional Services,2024,4,20,123,1077,16.26,1.86,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Educational, Membership & Religious Organizations",2025,2,5,134,210,3.73,2.38,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Mining & Utilities,2026,1,4,104,615,3.85,0.65,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Public Administration,2025,2,2,134,137,1.49,1.46,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Educational, Membership & Religious Organizations",2026,2,1,35,127,2.86,0.79,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Subcontractors,2024,1,12,139,1039,8.63,1.16,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Arts, Media, Hotels & Entertainment",2025,3,8,100,823,8.00,0.97,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Non-Residential & GCs,2025,4,10,74,947,13.51,1.06,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Public Administration,2025,3,2,100,105,2.00,1.90,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Highway & Heavy Construction,2025,2,3,134,285,2.24,1.05,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Highway & Heavy Construction,2024,3,4,156,315,2.56,1.27,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Highway & Heavy Construction,2025,1,3,110,286,2.73,1.05,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,,2025,4,1,74,40,1.35,2.50,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
